Método,Ruta,Tiempo Medio,N. de Peticiones
POST,/api/v1/devices/upZyUJ/access/,46.0 ms,1 pet
PATCH,/api/v1/devices/WT492T/,87.0 ms,1 pet
POST,/api/v1/devices/wpDrDu/access/,44.0 ms,1 pet
POST,/api/v1/devices/O3Cxby/access/,52.0 ms,1 pet
POST,/api/v1/devices/SihfdL/access/,76.0 ms,1 pet
POST,/api/v1/devices/f9M8IA/access/,46.0 ms,1 pet
PATCH,/api/v1/devices/ztV2Ba/,87.66666666666667 ms,3 pet
POST,/api/v1/devices/ztV2Ba/access/,46.0 ms,1 pet
PATCH,/api/v1/devices/8WTTaI/,56.0 ms,1 pet
PATCH,/api/v1/devices/3VyF4t/,92.0 ms,1 pet
POST,/api/v1/devices/JVIVT6/access/,58.0 ms,1 pet
POST,/api/v1/devices/rtSZ66/access/,48.0 ms,1 pet
POST,/api/v1/devices/GOTCAj/access/,51.0 ms,1 pet
POST,/api/v1/devices/WPCGk2/access/,45.0 ms,1 pet
PATCH,/api/v1/devices/WPCGk2/,90.0 ms,2 pet
PATCH,/api/v1/devices/iNvazz/,88.0 ms,1 pet
POST,/api/v1/devices/4xq8ot/access/,64.0 ms,1 pet
PATCH,/api/v1/devices/4xq8ot/,103.0 ms,1 pet
POST,/api/v1/devices/tJv0n7/access/,46.0 ms,1 pet
POST,/api/v1/devices/pk7Gxz/access/,69.0 ms,1 pet
PATCH,/api/v1/devices/DSx394/,118.0 ms,1 pet
PATCH,/api/v1/devices/xfz9p1/,113.75 ms,4 pet
PATCH,/api/v1/devices/r2uZzt/,92.0 ms,1 pet
POST,/api/v1/devices/r2uZzt/access/,49.0 ms,1 pet
PATCH,/api/v1/devices/6SVBgW/,90.0 ms,1 pet
PATCH,/api/v1/devices/rvIEwd/,93.0 ms,1 pet
PATCH,/api/v1/devices/mFzPde/,62.0 ms,1 pet
PATCH,/api/v1/devices/QnuZ8P/,86.0 ms,1 pet
POST,/api/v1/devices/EqgSNr/access/,76.0 ms,1 pet
POST,/api/v1/devices/ECkCqL/access/,51.0 ms,1 pet
POST,/api/v1/devices/ZNqNOD/access/,47.0 ms,1 pet
PATCH,/api/v1/devices/9nPzqG/,89.0 ms,1 pet
PATCH,/api/v1/devices/eg81A3/,111.0 ms,1 pet
PATCH,/api/v1/devices/rD67oo/,63.0 ms,1 pet
PATCH,/api/v1/devices/SCadem/,104.0 ms,1 pet
POST,/api/v1/devices/SCadem/access/,56.0 ms,1 pet
POST,/api/v1/devices/PjDgkn/access/,46.0 ms,1 pet
POST,/api/v1/devices/uFc0DP/access/,107.0 ms,1 pet
PATCH,/api/v1/devices/uFc0DP/,150.25 ms,4 pet
PATCH,/api/v1/devices/1DQEJE/,111.0 ms,2 pet
PATCH,/api/v1/devices/PjDgkn/,82.0 ms,1 pet
POST,/api/v1/devices/m4KBCF/access/,47.0 ms,1 pet
POST,/api/v1/devices/sYR6aX/access/,46.0 ms,1 pet
POST,/api/v1/devices/O0SjWb/access/,73.0 ms,1 pet
PATCH,/api/v1/devices/DnF8Km/,102.0 ms,1 pet
PATCH,/api/v1/devices/lqWDTg/,78.5 ms,2 pet
POST,/api/v1/devices/lqWDTg/access/,46.0 ms,1 pet
POST,/api/v1/devices/J4Qby7/access/,70.0 ms,1 pet
PATCH,/api/v1/devices/fPpTxD/,86.0 ms,2 pet
PATCH,/api/v1/devices/L9qvy2/,57.0 ms,1 pet
PATCH,/api/v1/devices/n9pCMW/,82.0 ms,1 pet
POST,/api/v1/devices/Tuum5S/access/,71.0 ms,1 pet
PATCH,/api/v1/devices/Tuum5S/,87.0 ms,1 pet
POST,/api/v1/devices/2D8XW7/access/,46.0 ms,1 pet
POST,/api/v1/devices/efr7b2/access/,45.0 ms,1 pet
POST,/api/v1/devices/oZx9Qv/access/,46.0 ms,1 pet
PATCH,/api/v1/devices/o76qqK/,98.0 ms,2 pet
POST,/api/v1/devices/e9Ig9P/access/,46.0 ms,1 pet
PATCH,/api/v1/devices/UzJG2V/,59.0 ms,1 pet
POST,/api/v1/devices/IMKe8k/access/,46.0 ms,1 pet
PATCH,/api/v1/devices/IMKe8k/,101.33333333333333 ms,3 pet
PATCH,/api/v1/devices/uMwVnt/,95.0 ms,1 pet
POST,/api/v1/devices/MP6aAV/access/,53.0 ms,1 pet
PATCH,/api/v1/devices/MP6aAV/,92.5 ms,2 pet
PATCH,/api/v1/devices/UydoBx/,63.0 ms,1 pet
POST,/api/v1/devices/UydoBx/access/,58.0 ms,1 pet
POST,/api/v1/devices/splpkr/access/,48.0 ms,1 pet
POST,/api/v1/devices/t0zcNs/access/,63.0 ms,1 pet
POST,/api/v1/devices/rjGlaU/access/,84.0 ms,1 pet
POST,/api/v1/devices/UC4ovi/access/,46.0 ms,1 pet
PATCH,/api/v1/devices/UC4ovi/,57.0 ms,1 pet
PATCH,/api/v1/devices/DYvorf/,81.0 ms,1 pet
POST,/api/v1/devices/sUzG2F/access/,67.0 ms,1 pet
PATCH,/api/v1/devices/6glTEo/,83.0 ms,1 pet
POST,/api/v1/devices/hLWnai/access/,68.0 ms,1 pet
PATCH,/api/v1/devices/orjVjq/,84.0 ms,1 pet
POST,/api/v1/devices/JGz0L7/access/,44.0 ms,1 pet
PATCH,/api/v1/devices/jWK53b/,106.0 ms,2 pet
POST,/api/v1/devices/Y48pbn/access/,55.0 ms,1 pet
POST,/api/v1/devices/15HRmX/access/,67.0 ms,1 pet
PATCH,/api/v1/devices/15HRmX/,126.0 ms,1 pet
POST,/api/v1/devices/SzzyVo/access/,46.0 ms,1 pet
PATCH,/api/v1/devices/SzzyVo/,95.0 ms,1 pet
POST,/api/v1/devices/qVavS3/access/,61.0 ms,1 pet
PATCH,/api/v1/devices/qVavS3/,86.0 ms,1 pet
PATCH,/api/v1/devices/vLU7oS/,78.0 ms,1 pet
PATCH,/api/v1/devices/UoWLYL/,84.0 ms,1 pet
PATCH,/api/v1/devices/meKZOj/,60.0 ms,1 pet
POST,/api/v1/devices/8LdiX7/access/,46.0 ms,1 pet
PATCH,/api/v1/devices/8LdiX7/,57.0 ms,1 pet
POST,/api/v1/devices/65dy3D/access/,62.0 ms,1 pet
PATCH,/api/v1/devices/65dy3D/,118.0 ms,1 pet
PATCH,/api/v1/devices/PotU8U/,100.0 ms,1 pet
POST,/api/v1/devices/jlUirp/access/,50.0 ms,1 pet
POST,/api/v1/devices/RFrQq3/access/,74.0 ms,1 pet
PATCH,/api/v1/devices/kBWeGb/,87.0 ms,1 pet
PATCH,/api/v1/devices/xlaw49/,85.0 ms,1 pet
PATCH,/api/v1/devices/xCGP7o/,89.5 ms,2 pet
PATCH,/api/v1/devices/TRRG09/,98.0 ms,1 pet
PATCH,/api/v1/devices/jGjTc5/,106.0 ms,1 pet
POST,/api/v1/devices/BlqVoO/access/,42.0 ms,1 pet
PATCH,/api/v1/devices/rEmwwN/,56.0 ms,1 pet
POST,/api/v1/devices/q0QzwV/access/,44.0 ms,2 pet
POST,/api/v1/devices/Shb4IP/access/,48.0 ms,1 pet
PATCH,/api/v1/devices/SYYGCj/,89.0 ms,1 pet
PATCH,/api/v1/devices/Shb4IP/,89.0 ms,1 pet
POST,/api/v1/devices/Z2onAy/access/,47.0 ms,1 pet
PATCH,/api/v1/devices/QxYkGo/,93.0 ms,1 pet
PATCH,/api/v1/devices/kgtV7L/,62.0 ms,1 pet
POST,/api/v1/devices/xbC4CH/access/,45.0 ms,1 pet
POST,/api/v1/devices/drATKI/access/,50.0 ms,1 pet
PATCH,/api/v1/devices/drATKI/,63.0 ms,1 pet
POST,/api/v1/devices/PTY42P/access/,61.0 ms,1 pet
POST,/api/v1/devices/7RHCLo/access/,45.0 ms,1 pet
POST,/api/v1/devices/DbTbUR/access/,71.0 ms,1 pet
PATCH,/api/v1/devices/DbTbUR/,103.33333333333333 ms,3 pet
PATCH,/api/v1/devices/fppytU/,58.0 ms,1 pet
POST,/api/v1/devices/fppytU/access/,47.0 ms,1 pet
POST,/api/v1/devices/links/?retries=2,49.0 ms,1 pet
POST,/api/v1/devices/51MgZE/access/,46.0 ms,1 pet
POST,/api/v1/devices/F14IYH/access/,63.0 ms,1 pet
PATCH,/api/v1/devices/F14IYH/,172.0 ms,1 pet
POST,/api/v1/devices/cPB7xa/access/,48.0 ms,1 pet
POST,/api/v1/devices/Ogdklc/access/,47.0 ms,1 pet
